"ID","cluster"
"AT3G52345","1"
"AT3G05945","1"
"AT1G12580","1"
"AT1G51720","1"
"AT3G07780","1"
"AT5G16230","1"
"AT1G07887","1"
"AT5G03330","1"
"AT1G10070","1"
"AT1G53480","1"
"AT1G80850","1"
"AT2G07805","1"
"AT3G08235","1"
"AT5G54280","1"
"AT3G18100","1"
"AT4G01370","1"
"AT2G36780","1"
"AT4G14180","1"
"AT5G52830","1"
"AT1G62740","1"
"AT2G43640","1"
"AT1G60640","1"
"AT5G42110","1"
"AT1G75310","1"
"AT4G35420","1"
"AT3G15356","2"
"AT4G12543","2"
"AT1G19150","2"
"AT1G55960","2"
"AT1G04183","2"
"AT5G13630","2"
"AT1G58290","2"
"AT4G14400","2"
"AT2G41890","2"
"AT4G17090","2"
"AT5G14120","2"
"AT5G49730","2"
"AT1G03130","2"
"AT4G13340","2"
"AT1G19670","2"
"AT3G15850","2"
"AT2G46750","2"
"AT5G25980","2"
"AT1G31330","2"
"AT3G61870","2"
"AT4G35090","2"
"AT5G38410","2"
"AT5G38420","2"
"AT1G23720","2"
"AT1G01580","2"
"AT3G48720","2"
"AT3G15200","3"
"AT5G41025","3"
"AT2G15680","3"
"AT4G21190","3"
"AT5G60030","3"
"AT5G41140","3"
"AT5G52280","3"
"ATCG00790","3"
"AT2G38310","3"
"ATCG00810","3"
"AT1G56660","3"
"AT3G52390","3"
"AT2G27390","3"
"AT3G24080","3"
"AT5G41020","3"
"AT2G22795","3"
"ATCG00800","3"
"AT1G71015","3"
"AT1G66840","3"
"AT5G09155","3"
"AT5G02515","3"
"AT2G44370","3"
"AT1G61600","3"
"AT3G15518","3"
"AT5G40340","3"
"AT5G56850","3"
"AT1G31860","3"
"AT5G65900","3"
"AT1G68585","3"
"AT4G26630","3"
"AT1G07737","3"
"AT5G52882","3"
"AT5G63310","3"
"AT1G68790","3"
"AT3G03200","3"
"AT5G55660","3"
"AT4G06105","3"
"AT3G58990","3"
"AT5G55930","3"
"AT4G26190","3"
"AT3G19490","3"
"AT2G37080","3"
"ATCG00780","3"
"AT3G03135","3"
"AT1G68590","3"
"AT3G23070","3"
"AT3G59370","3"
"AT4G26830","3"
"AT3G45390","3"
"AT3G28345","3"
"AT4G14040","3"
"AT5G07570","3"
"AT3G17170","3"
"AT3G55040","3"
"AT3G56408","3"
"AT1G07780","3"
"AT3G28930","3"
"AT2G26440","3"
"AT2G42280","3"
"AT1G07728","3"
"AT5G16730","3"
"AT5G38150","3"
"AT2G01870","3"
"AT3G16000","3"
"AT4G22463","3"
"AT1G04800","3"
"AT2G21440","3"
"AT1G65010","3"
"AT1G09415","3"
"AT1G07187","3"
"AT1G17360","3"
"AT1G79280","3"
"AT4G18350","3"
"AT4G30845","3"
"AT1G05293","3"
"AT3G10060","3"
"AT5G13520","3"
"AT3G53235","3"
"AT1G04790","3"
"AT5G41790","3"
"AT1G21640","3"
"AT4G13575","3"
"AT5G08275","3"
"AT3G02410","3"
"AT1G18970","3"
"AT3G12915","3"
"AT1G51080","3"
"AT1G23560","3"
"AT5G16030","3"
"AT1G02710","3"
"AT2G43140","3"
"AT1G29070","3"
"AT4G13572","3"
"AT5G02130","3"
"AT5G49910","3"
"AT2G09420","3"
"AT4G36520","3"
"AT3G27690","3"
"AT2G32500","3"
"AT4G18740","3"
"AT5G63320","3"
"AT5G04185","3"
"AT4G22530","3"
"AT4G15140","3"
"AT5G55360","3"
"AT5G40450","3"
"AT4G37820","3"
"AT1G20970","3"
"AT1G51110","3"
"AT5G28300","3"
"AT4G21180","3"
"AT4G33740","3"
"AT2G43100","3"
"AT3G05905","3"
"AT1G31540","3"
"AT3G05900","3"
"AT2G15620","3"
"AT3G09055","3"
"AT1G30380","3"
"AT3G52380","3"
"AT1G62750","3"
"AT5G13130","3"
"AT1G72640","3"
"AT4G18220","3"
"AT3G62410","3"
"AT4G37200","3"
"AT1G80770","3"
"AT5G10170","3"
"AT1G23090","3"
"AT3G15520","3"
"AT3G44450","3"
"AT5G60800","3"
"AT5G17580","3"
"AT3G02370","3"
"AT5G27950","3"
"AT5G41761","3"
"AT3G03785","3"
"AT4G28660","3"
"AT1G73110","3"
"AT5G61590","3"
"AT1G49010","3"
"AT2G42247","3"
"AT1G43605","3"
"AT4G33360","3"
"AT2G40490","3"
"AT1G17060","3"
