ID	contrast	direction
AT1G64790	SINGLEvsCOL	1
AT3G61640	SINGLEvsCOL	1
AT2G27830	SINGLEvsCOL	1
AT4G02520	SINGLEvsCOL	1
AT4G00400	SINGLEvsCOL	1
ATCG00800	SINGLEvsCOL	0
AT1G15550	SINGLEvsCOL	0
AT3G03815	SINGLEvsCOL	0
AT4G05320	SINGLEvsCOL	0
AT3G09220	SINGLEvsCOL	0
AT4G17170	SINGLEvsCOL	0
ATCG00780	SINGLEvsCOL	0
AT5G01675	SINGLEvsCOL	0
AT5G04550	SINGLEvsCOL	0
AT2G40610	SINGLEvsCOL	0
AT3G20020	SINGLEvsCOL	0
AT3G11010	SINGLEvsCOL	0
AT3G14980	SINGLEvsCOL	0
AT4G33355	SINGLEvsCOL	0
AT4G22285	SINGLEvsCOL	0
AT5G23710	SINGLEvsCOL	0
AT5G54280	SINGLEvsCOL	0
AT5G65110	SINGLEvsCOL	0
AT5G15780	SINGLEvsCOL	0
AT3G56970	SINGLEvsCOL	0
AT1G08707	SINGLEvsCOL	0
AT3G48195	SINGLEvsCOL	0
AT2G13550	SINGLEvsCOL	0
AT2G05440	SINGLEvsCOL	0
AT1G15700	SINGLEvsCOL	0
AT5G44130	SINGLEvsCOL	0
AT2G42860	SINGLEvsCOL	0
AT2G44130	SINGLEvsCOL	0
AT3G48710	SINGLEvsCOL	0
AT4G01280	SINGLEvsCOL	0
AT1G08560	SINGLEvsCOL	0
AT3G18100	SINGLEvsCOL	0
AT5G08350	SINGLEvsCOL	0
AT4G35420	SINGLEvsCOL	0
AT2G27470	SINGLEvsCOL	0
AT1G06787	SINGLEvsCOL	0
AT1G13608	SINGLEvsCOL	0
AT2G36780	SINGLEvsCOL	0
AT4G13390	SINGLEvsCOL	0
AT5G41025	SINGLEvsCOL	0
AT2G32500	SINGLEvsCOL	0
AT2G41540	SINGLEvsCOL	0
AT4G29580	SINGLEvsCOL	0
AT5G07740	SINGLEvsCOL	0
AT5G20950	SINGLEvsCOL	0
AT3G19700	SINGLEvsCOL	0
AT3G18980	SINGLEvsCOL	0
ATCG00810	SINGLEvsCOL	0
AT3G51150	SINGLEvsCOL	0
AT1G15950	SINGLEvsCOL	0
AT5G13860	SINGLEvsCOL	0
AT1G62740	SINGLEvsCOL	0
AT3G47560	SINGLEvsCOL	0
AT2G28350	SINGLEvsCOL	0
AT5G42110	SINGLEvsCOL	0
AT4G30490	SINGLEvsCOL	0
AT5G20620	SINGLEvsCOL	0
AT4G01950	SINGLEvsCOL	0
AT3G09910	SINGLEvsCOL	0
AT3G13784	SINGLEvsCOL	0
AT3G01295	SINGLEvsCOL	0
AT5G13530	SINGLEvsCOL	0
AT1G43910	SINGLEvsCOL	0
AT2G34510	SINGLEvsCOL	0
AT2G23290	SINGLEvsCOL	0
AT3G05330	SINGLEvsCOL	0
AT2G07495	SINGLEvsCOL	0
AT2G25050	SINGLEvsCOL	0
AT1G14360	SINGLEvsCOL	0
AT3G13910	SINGLEvsCOL	0
AT3G09305	SINGLEvsCOL	0
AT1G15780	SINGLEvsCOL	0
AT3G29633	SINGLEvsCOL	0
AT1G75310	SINGLEvsCOL	0
AT1G54260	SINGLEvsCOL	0
AT4G02890	SINGLEvsCOL	0
AT1G57990	SINGLEvsCOL	0
AT5G63890	SINGLEvsCOL	0
AT3G23840	SINGLEvsCOL	0
AT2G47970	SINGLEvsCOL	0
AT4G05071	SINGLEvsCOL	0
AT4G13575	SINGLEvsCOL	0
AT5G41140	SINGLEvsCOL	0
AT3G26310	SINGLEvsCOL	0
AT3G13990	SINGLEvsCOL	0
AT3G13300	SINGLEvsCOL	0
AT3G01810	SINGLEvsCOL	0
AT2G40300	SINGLEvsCOL	0
AT5G51200	SINGLEvsCOL	0
AT5G62520	SINGLEvsCOL	0
AT4G13100	SINGLEvsCOL	0
AT5G67110	SINGLEvsCOL	0
AT5G62280	SINGLEvsCOL	0
AT3G08235	SINGLEvsCOL	0
AT2G22795	SINGLEvsCOL	0
AT4G02700	SINGLEvsCOL	0
AT5G64240	SINGLEvsCOL	0
AT2G09675	SINGLEvsCOL	0
AT5G55660	SINGLEvsCOL	0
AT2G20190	SINGLEvsCOL	0
AT4G13572	SINGLEvsCOL	0
AT3G04590	SINGLEvsCOL	0
AT5G04180	SINGLEvsCOL	0
AT2G16440	SINGLEvsCOL	0
AT1G73440	SINGLEvsCOL	0
AT5G35190	SINGLEvsCOL	0
AT5G09155	SINGLEvsCOL	0
AT1G51570	SINGLEvsCOL	0
ATCG00380	SINGLEvsCOL	0
AT5G52280	SINGLEvsCOL	0
AT1G43850	SINGLEvsCOL	0
AT4G14190	SINGLEvsCOL	0
AT4G04335	SINGLEvsCOL	0
AT2G07805	SINGLEvsCOL	0
AT1G59960	SINGLEvsCOL	0
AT4G09685	SINGLEvsCOL	0
AT3G28550	SINGLEvsCOL	0
AT4G23820	SINGLEvsCOL	0
AT2G33770	SINGLEvsCOL	0
AT1G04493	SINGLEvsCOL	0
AT1G15940	SINGLEvsCOL	0
AT2G37570	SINGLEvsCOL	0
AT4G35640	SINGLEvsCOL	0
AT4G11080	SINGLEvsCOL	0
AT3G54590	SINGLEvsCOL	0
AT4G30097	SINGLEvsCOL	0
AT3G04085	SINGLEvsCOL	0
AT5G19260	SINGLEvsCOL	0
AT1G29150	SINGLEvsCOL	0
AT3G28300	SINGLEvsCOL	0
AT2G41020	SINGLEvsCOL	0
AT3G25790	SINGLEvsCOL	0
AT3G03530	SINGLEvsCOL	0
AT4G01370	SINGLEvsCOL	0
AT5G11710	SINGLEvsCOL	0
AT4G02710	SINGLEvsCOL	0
AT1G52190	SINGLEvsCOL	0
AT4G02680	SINGLEvsCOL	0
AT2G38080	SINGLEvsCOL	0
AT5G53170	SINGLEvsCOL	0
AT5G62350	SINGLEvsCOL	0
AT3G60110	SINGLEvsCOL	0
AT2G43640	SINGLEvsCOL	0
AT4G13570	SINGLEvsCOL	0
AT1G52070	SINGLEvsCOL	0
AT2G42365	SINGLEvsCOL	0
AT2G31750	SINGLEvsCOL	0
AT5G38720	SINGLEvsCOL	0
AT5G14920	SINGLEvsCOL	0
AT2G23080	SINGLEvsCOL	0
AT5G11700	SINGLEvsCOL	0
AT2G21060	SINGLEvsCOL	0
AT1G07210	SINGLEvsCOL	0
AT2G06850	SINGLEvsCOL	0
AT4G34140	SINGLEvsCOL	0
AT5G08415	SINGLEvsCOL	0
AT4G14770	SINGLEvsCOL	0
AT5G19480	SINGLEvsCOL	0
AT1G08270	SINGLEvsCOL	0
AT5G61270	SINGLEvsCOL	0
AT1G71840	SINGLEvsCOL	0
AT4G05050	SINGLEvsCOL	0
AT1G68020	SINGLEvsCOL	0
AT1G70980	SINGLEvsCOL	0
AT1G17610	SINGLEvsCOL	0
AT1G60070	SINGLEvsCOL	0
AT3G19650	SINGLEvsCOL	0
AT1G22885	SINGLEvsCOL	0
AT3G28290	SINGLEvsCOL	0
AT3G26890	SINGLEvsCOL	0
AT4G31150	SINGLEvsCOL	0
AT2G36360	SINGLEvsCOL	0
AT3G54580	SINGLEvsCOL	0
AT5G65050	SINGLEvsCOL	0
AT4G23271	SINGLEvsCOL	0
AT4G36250	SINGLEvsCOL	0
AT3G02050	SINGLEvsCOL	0
AT4G19140	SINGLEvsCOL	0
AT4G15960	SINGLEvsCOL	0
AT1G25260	SINGLEvsCOL	0
AT1G43790	SINGLEvsCOL	0
AT4G26190	SINGLEvsCOL	0
AT5G46390	SINGLEvsCOL	0
AT5G24140	SINGLEvsCOL	0
AT2G25460	SINGLEvsCOL	0
AT5G41020	SINGLEvsCOL	0
AT1G79150	SINGLEvsCOL	0
AT1G60800	SINGLEvsCOL	0
AT2G46000	SINGLEvsCOL	0
AT5G66820	SINGLEvsCOL	0
AT3G52390	SINGLEvsCOL	0
AT1G01610	SINGLEvsCOL	0
AT4G26630	SINGLEvsCOL	0
AT5G52830	SINGLEvsCOL	0
AT5G43920	SINGLEvsCOL	0
AT1G71200	SINGLEvsCOL	0
AT2G48030	SINGLEvsCOL	0
AT4G14700	SINGLEvsCOL	0
AT1G60730	SINGLEvsCOL	0
AT1G74035	SINGLEvsCOL	0
AT5G63180	SINGLEvsCOL	0
AT5G06630	SINGLEvsCOL	0
AT4G23610	SINGLEvsCOL	0
AT3G15200	SINGLEvsCOL	0
AT1G18090	SINGLEvsCOL	0
AT1G06290	SINGLEvsCOL	0
AT3G60410	SINGLEvsCOL	0
AT5G03545	SINGLEvsCOL	0
AT5G44320	SINGLEvsCOL	0
AT5G08610	SINGLEvsCOL	0
AT5G55930	SINGLEvsCOL	0
AT1G56090	SINGLEvsCOL	0
AT1G08087	SINGLEvsCOL	0
AT4G17540	SINGLEvsCOL	0
AT4G02510	SINGLEvsCOL	0
AT4G23810	SINGLEvsCOL	0
AT1G01430	SINGLEvsCOL	0
AT1G03060	SINGLEvsCOL	0
ATCG00730	SINGLEvsCOL	0
AT3G45080	SINGLEvsCOL	0
AT4G23400	SINGLEvsCOL	0
AT2G33210	SINGLEvsCOL	0
AT3G02400	SINGLEvsCOL	0
AT5G41790	SINGLEvsCOL	0
AT1G05267	SINGLEvsCOL	0
AT2G45970	SINGLEvsCOL	0
AT5G66520	SINGLEvsCOL	0
AT2G30230	SINGLEvsCOL	0
AT1G25440	SINGLEvsCOL	0
AT4G06105	SINGLEvsCOL	0
AT1G04413	SINGLEvsCOL	0
AT2G23340	SINGLEvsCOL	0
AT1G68185	SINGLEvsCOL	0
AT3G01795	SINGLEvsCOL	0
AT3G04560	SINGLEvsCOL	0
AT4G11070	SINGLEvsCOL	0
AT5G42870	SINGLEvsCOL	0
AT5G64000	SINGLEvsCOL	0
AT4G05460	SINGLEvsCOL	0
AT5G40340	SINGLEvsCOL	0
AT4G02040	SINGLEvsCOL	0
AT3G02845	SINGLEvsCOL	0
AT5G06645	SINGLEvsCOL	0
AT1G54410	SINGLEvsCOL	0
AT1G23720	SINGLEvsCOL	0
AT1G77220	SINGLEvsCOL	0
AT5G23820	SINGLEvsCOL	0
AT4G12830	SINGLEvsCOL	0
AT1G26100	SINGLEvsCOL	0
AT2G09505	SINGLEvsCOL	0
AT3G22960	SINGLEvsCOL	0
AT1G11720	SINGLEvsCOL	0
AT1G77710	SINGLEvsCOL	0
AT2G16950	SINGLEvsCOL	0
AT2G29970	SINGLEvsCOL	0
AT4G37050	SINGLEvsCOL	0
AT4G00710	SINGLEvsCOL	0
ATCG00080	SINGLEvsCOL	0
AT5G40450	SINGLEvsCOL	0
AT3G03210	SINGLEvsCOL	0
AT1G16260	SINGLEvsCOL	0
AT3G06150	SINGLEvsCOL	0
AT5G55360	SINGLEvsCOL	0
AT2G01750	SINGLEvsCOL	0
AT3G57440	SINGLEvsCOL	0
AT2G32910	SINGLEvsCOL	0
AT5G60920	SINGLEvsCOL	0
AT5G03240	SINGLEvsCOL	0
AT1G03410	SINGLEvsCOL	0
AT4G28570	SINGLEvsCOL	0
AT1G05523	SINGLEvsCOL	0
AT3G28700	SINGLEvsCOL	0
AT2G42247	SINGLEvsCOL	0
AT1G52000	SINGLEvsCOL	0
AT4G33585	SINGLEvsCOL	0
AT5G65860	SINGLEvsCOL	0
AT1G52820	SINGLEvsCOL	0
AT1G36280	SINGLEvsCOL	0
AT4G03110	SINGLEvsCOL	0
AT1G61250	SINGLEvsCOL	0
AT2G15680	SINGLEvsCOL	0
AT5G06660	SINGLEvsCOL	0
AT5G27740	SINGLEvsCOL	0
AT2G26250	SINGLEvsCOL	0
AT5G48610	SINGLEvsCOL	0
AT5G07270	SINGLEvsCOL	0
AT1G07230	SINGLEvsCOL	0
AT4G12270	SINGLEvsCOL	0
AT3G57030	SINGLEvsCOL	0
AT5G35670	SINGLEvsCOL	0
AT3G27690	SINGLEvsCOL	0
AT1G54360	SINGLEvsCOL	0
AT5G06640	SINGLEvsCOL	0
AT5G50320	SINGLEvsCOL	0
AT4G13560	SINGLEvsCOL	0
AT2G36850	SINGLEvsCOL	0
